ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
10;1;Makeup;;;;;;;;
11;1;Face;10;;;;;;;
12;1;Primers;11;;;;;;;
13;1;Foundations;11;;;;;;;
14;1;Highlighters & Shimmers;11;;;;;;;
15;1;Powders;11;;;;;;;
16;1;Blushes;11;;;;;;;
17;1;Concealers;11;;;;;;;
18;1;Makeup removers;11;;;;;;;
19;1;Eyes;10;;;;;;;
20;1;Eyeliners & Pencils;19;;;;;;;
21;1;Mascaras;19;;;;;;;
22;1;Eyeshadows;19;;;;;;;
23;1;Eye Primers;19;;;;;;;
24;1;Brow;19;;;;;;;
25;1;Lips;10;;;;;;;
26;1;Lipsticks;25;;;;;;;
27;1;Lip Glosses;25;;;;;;;
28;1;Lip Liners & Pencils;25;;;;;;;
29;1;Lip care;25;;;;;;;
30;1;Primers;10;;;;;;;
31;1;Makeup Removers;10;;;;;;;
32;1;Brushes, Sponges & Tools;10;;;;;;;
51;1;Nails;10;;;;;;;
52;1;Nail Enamel;51;;;;;;;
53;1;Nail Theraphy;51;;;;;;;
33;1;Skin Care;;;;;;;;
34;1;Face;33;;;;;;;
35;1;Anti-ageing cream ;34;;;;;;;
36;1;Eye care;34;;;;;;;
37;1;Serum;34;;;;;;;
38;1;Moisturisers;34;;;;;;;
39;1;Masks;34;;;;;;;
40;1;Cleansers & Toners;34;;;;;;;
41;1;Body;33;;;;;;;
42;1;Moisturisers ;41;;;;;;;
43;1;Anti-Ageing Creams;41;;;;;;;
44;1;Hands;41;;;;;;;
45;1;Legs & Feet;41;;;;;;;
46;1;Suncare;41;;;;;;;
47;1;Hair;10;;;;;;;
48;1;Shampoo;47;;;;;;;
49;1;Conditioner ;47;;;;;;;
50;1;Masks & Lotions;47;;;;;;;
54;1;Men;10;;;;;;;
55;1;Anti-Ageing Creams;54;;;;;;;
56;1;Moisturisers ;54;;;;;;;
57;1;Cleansing & Purifying;54;;;;;;;
58;1;Shaving;54;;;;;;;
59;1;After Shave;54;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
